NRO_REGISTRO,RUC,RAZON,DEPARTAMENTO,PROVINCIA,DISTRITO,DIRECCION,FCHA_REGISTRO,COD_PRODUCTO,PRODUCTO,PRECIO_VENTA,UNIDAD,CODIGO_OSINERG,ACTIVIDAD,COD_ACTIVIDAD,MARCA
182944-048-191225,20613460871,MEGA COMBUSTIBLES S.A.C.,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,CARRETERA A VENTANILLA KM. 25,2026-06-16 16:42:13,45,Diesel B5 S-50,17.23,Galones,182944,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
183517-048-270326,20613460871,MEGA COMBUSTIBLES S.A.C.,PUNO,SAN ROMAN,JULIACA,URBANIZACION ZONA INDUSTRIAL TAPARACHI CARRETERA KM 2.5 ZONA 1 BLOQUE G,2026-06-16 17:06:51,126,GASOHOL REGULAR,16.85,Galones,183517,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
183517-048-270326,20613460871,MEGA COMBUSTIBLES S.A.C.,PUNO,SAN ROMAN,JULIACA,URBANIZACION ZONA INDUSTRIAL TAPARACHI CARRETERA KM 2.5 ZONA 1 BLOQUE G,2026-06-16 17:06:51,40,Diesel B5 S-50 UV,19.3,Galones,183517,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
183517-048-270326,20613460871,MEGA COMBUSTIBLES S.A.C.,PUNO,SAN ROMAN,JULIACA,URBANIZACION ZONA INDUSTRIAL TAPARACHI CARRETERA KM 2.5 ZONA 1 BLOQUE G,2026-06-16 17:06:51,45,Diesel B5 S-50,19.48,Galones,183517,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
183936-048-151225,20556119636,XACT PERU S.A.C.,MOQUEGUA,ILO,ILO,"AV. MARIANO LINO URQUIETA 1003, URB. SECTOR 2",2026-06-16 17:08:20,127,GASOHOL PREMIUM,17.1,Galones,183936,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
183936-048-151225,20556119636,XACT PERU S.A.C.,MOQUEGUA,ILO,ILO,"AV. MARIANO LINO URQUIETA 1003, URB. SECTOR 2",2026-06-16 17:08:20,40,Diesel B5 S-50 UV,17.96,Galones,183936,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
183936-048-151225,20556119636,XACT PERU S.A.C.,MOQUEGUA,ILO,ILO,"AV. MARIANO LINO URQUIETA 1003, URB. SECTOR 2",2026-06-16 17:08:20,45,Diesel B5 S-50,18.09,Galones,183936,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184010-048-230326,20613460871,MEGA COMBUSTIBLES S.A.C.,ANCASH,SANTA,CHIMBOTE,"CALLE N° 3, N° 110, ZONA INDUSTRIAL GRAN TRAPECIO",2026-06-16 17:38:13,126,GASOHOL REGULAR,15.02,Galones,184010,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184010-048-230326,20613460871,MEGA COMBUSTIBLES S.A.C.,ANCASH,SANTA,CHIMBOTE,"CALLE N° 3, N° 110, ZONA INDUSTRIAL GRAN TRAPECIO",2026-06-16 17:38:13,40,Diesel B5 S-50 UV,17.85,Galones,184010,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184010-048-230326,20613460871,MEGA COMBUSTIBLES S.A.C.,ANCASH,SANTA,CHIMBOTE,"CALLE N° 3, N° 110, ZONA INDUSTRIAL GRAN TRAPECIO",2026-06-16 17:38:13,45,Diesel B5 S-50,19.18,Galones,184010,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184541-048-111225,20512081372,'NEGOCIACION KIO' SOCIEDAD ANONIMA CERRADA,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETA 1265,2026-08-08 08:48:56,126,GASOHOL REGULAR,16.64,Galones,184541,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184541-048-111225,20512081372,'NEGOCIACION KIO' SOCIEDAD ANONIMA CERRADA,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETA 1265,2026-08-08 08:48:56,127,GASOHOL PREMIUM,17.77,Galones,184541,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184541-048-111225,20512081372,'NEGOCIACION KIO' SOCIEDAD ANONIMA CERRADA,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETA 1265,2026-08-08 08:48:56,40,Diesel B5 S-50 UV,19.67,Galones,184541,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184541-048-111225,20512081372,'NEGOCIACION KIO' SOCIEDAD ANONIMA CERRADA,PROV. CONST. DEL CALLAO,PROV. CONST. DEL CALLAO,CALLAO,AV. NESTOR GAMBETA 1265,2026-08-08 08:48:56,45,Diesel B5 S-50,19.67,Galones,184541,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184698-048-011225,20613460871,MEGA COMBUSTIBLES S.A.C.,AREQUIPA,ISLAY,MOLLENDO,"CALLE APURÍMAC S/N, ZONA INDUSTRIAL INCLÁN",2026-06-16 16:26:42,126,GASOHOL REGULAR,16.03,Galones,184698,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184698-048-011225,20613460871,MEGA COMBUSTIBLES S.A.C.,AREQUIPA,ISLAY,MOLLENDO,"CALLE APURÍMAC S/N, ZONA INDUSTRIAL INCLÁN",2026-06-16 16:26:42,127,GASOHOL PREMIUM,16.69,Galones,184698,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184698-048-011225,20613460871,MEGA COMBUSTIBLES S.A.C.,AREQUIPA,ISLAY,MOLLENDO,"CALLE APURÍMAC S/N, ZONA INDUSTRIAL INCLÁN",2026-06-16 16:26:42,40,Diesel B5 S-50 UV,18,Galones,184698,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184698-048-011225,20613460871,MEGA COMBUSTIBLES S.A.C.,AREQUIPA,ISLAY,MOLLENDO,"CALLE APURÍMAC S/N, ZONA INDUSTRIAL INCLÁN",2026-06-16 16:26:42,45,Diesel B5 S-50,18.16,Galones,184698,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184777-048-211225,20613460871,MEGA COMBUSTIBLES S.A.C.,LA LIBERTAD,TRUJILLO,SALAVERRY,PACASMAYO N° 16,2026-06-16 16:53:03,126,GASOHOL REGULAR,15.28,Galones,184777,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184777-048-211225,20613460871,MEGA COMBUSTIBLES S.A.C.,LA LIBERTAD,TRUJILLO,SALAVERRY,PACASMAYO N° 16,2026-06-16 16:53:03,127,GASOHOL PREMIUM,16.61,Galones,184777,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184777-048-211225,20613460871,MEGA COMBUSTIBLES S.A.C.,LA LIBERTAD,TRUJILLO,SALAVERRY,PACASMAYO N° 16,2026-06-16 16:53:03,40,Diesel B5 S-50 UV,18.11,Galones,184777,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
184777-048-211225,20613460871,MEGA COMBUSTIBLES S.A.C.,LA LIBERTAD,TRUJILLO,SALAVERRY,PACASMAYO N° 16,2026-06-16 16:53:03,45,Diesel B5 S-50,18.42,Galones,184777,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185779-048-170326,20613460871,MEGA COMBUSTIBLES S.A.C.,LIMA,LIMA,LURIN,CARRETERA PANAMERICANA SUR KM 26.5,2026-06-16 17:42:45,126,GASOHOL REGULAR,15.81,Galones,185779,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185779-048-170326,20613460871,MEGA COMBUSTIBLES S.A.C.,LIMA,LIMA,LURIN,CARRETERA PANAMERICANA SUR KM 26.5,2026-06-16 17:42:45,127,GASOHOL PREMIUM,16.53,Galones,185779,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185779-048-170326,20613460871,MEGA COMBUSTIBLES S.A.C.,LIMA,LIMA,LURIN,CARRETERA PANAMERICANA SUR KM 26.5,2026-06-16 17:42:45,40,Diesel B5 S-50 UV,18.55,Galones,185779,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185779-048-170326,20613460871,MEGA COMBUSTIBLES S.A.C.,LIMA,LIMA,LURIN,CARRETERA PANAMERICANA SUR KM 26.5,2026-06-16 17:42:45,45,Diesel B5 S-50,18.94,Galones,185779,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
185790-048-190226,20613460871,MEGA COMBUSTIBLES S.A.C.,CUSCO,CUSCO,SAN JERONIMO,OSCOLLOPAMPA,2026-06-16 17:15:58,126,GASOHOL REGULAR,16.89,Galones,185790,DISTRIBUIDOR MAYORISTA DE COMBUSTIBLES LIQUIDOS,048,
