codigo_siniestro,fecha,anio,dia_semana,hora,hora_num,provincia,distrito,zona,tipo_via,clase_siniestro,causa_principal,cantidad_fallecidos,cantidad_lesionados,latitud,longitud
A-2023-04-132,2023-04-27,2023,JUEVES,10:31,10,LIMA,LA MOLINA,URBANA,CARRETERA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.075539,-76.974923
A-2023-04-131,2023-04-27,2023,JUEVES,06:23,6,LIMA,LURIGANCHO,URBANA,AVENIDA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.007771,-76.920436
A-2023-04-129,2023-04-27,2023,JUEVES,18:50,18,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.002688,-76.999031
A-2023-04-121,2023-04-28,2023,VIERNES,09:10,9,LIMA,BARRANCO,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.15349,-77.019626
A-2023-04-122,2023-04-29,2023,SABADO,16:15,16,LIMA,MIRAFLORES,URBANA,AVENIDA,DESPISTE,EN PROCESO DE INVESTIGACIÓN,1,0,-12.108733,-77.026689
A-2023-04-127,2023-04-29,2023,SABADO,13:45,13,LIMA,CARABAYLLO,URBANA,AVENIDA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,2,0,-11.873538,-77.015612
A-2023-04-128,2023-04-29,2023,SABADO,13:00,13,LIMA,VILLA EL SALVADOR,RURAL,CARRETERA,VOLCADURA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.242372,-76.944312
A-2023-04-126,2023-04-30,2023,DOMINGO,05:00,5,LIMA,CARABAYLLO,URBANA,AVENIDA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-11.898647,-77.03846
A-2023-04-125,2023-04-30,2023,DOMINGO,11:30,11,LIMA,VILLA EL SALVADOR,URBANA,AVENIDA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,9,-12.226382,-76.935456
A-2023-04-123,2023-04-30,2023,DOMINGO,15:30,15,LIMA,EL AGUSTINO,URBANA,CARRETERA,DESPISTE,NEGLIGENCIA DEL CONDUCTOR,2,1,-12.030709,-76.983637
A-2023-05-140,2023-05-03,2023,MIERCOLES,10:30,10,LIMA,SAN JUAN DE LURIGANCHO,URBANA,JIRÓN,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-11.963119,-76.983195
A-2023-05-174,2023-05-06,2023,SABADO,15:40,15,LIMA,SANTIAGO DE SURCO,URBANA,CARRETERA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.14375,-76.981703
A-2023-05-138,2023-05-06,2023,SABADO,22:40,22,LIMA,INDEPENDENCIA,URBANA,AVENIDA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-12.002167,-77.054999
A-2023-05-139,2023-05-06,2023,SABADO,09:23,9,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-11.967824,-77.0039
A-2023-05-155,2023-05-06,2023,SABADO,15:40,15,LIMA,SANTIAGO DE SURCO,RURAL,CARRETERA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.143686,-76.981723
A-2023-05-137,2023-05-07,2023,DOMINGO,00:40,0,LIMA,LOS OLIVOS,URBANA,AVENIDA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,1,0,-11.980232,-77.072205
A-2023-05-136,2023-05-08,2023,LUNES,05:00,5,LIMA,SAN BORJA,URBANA,CARRETERA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,1,24,-12.094176,-76.980606
A-2023-05-135,2023-05-10,2023,MIERCOLES,13:50,13,LIMA,VILLA EL SALVADOR,RURAL,CARRETERA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.240542,-76.947702
A-2023-05-134,2023-05-11,2023,JUEVES,12:30,12,LIMA,LURIGANCHO,URBANA,AVENIDA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,0,-11.998582,-76.92669
A-2023-05-133,2023-05-11,2023,JUEVES,18:50,18,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,JIRÓN,DESPISTE,EN PROCESO DE INVESTIGACIÓN,1,0,-12.184059,-76.939141
A-2023-05-132,2023-05-12,2023,VIERNES,21:00,21,LIMA,LURIN,RURAL,CARRETERA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-12.281627,-76.880799
A-2023-05-131,2023-05-13,2023,SABADO,10:30,10,LIMA,RIMAC,URBANA,JIRÓN,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,1,-12.037794,-77.026981
A-2023-05-128,2023-05-14,2023,DOMINGO,23:20,23,LIMA,PACHACAMAC,URBANA,AVENIDA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.112637,-76.87396
A-2023-05-10,2023-05-14,2023,DOMINGO,23:20,23,LIMA,PACHACAMAC,URBANA,AVENIDA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.112766,-76.873714
A-2023-05-130,2023-05-14,2023,DOMINGO,07:00,7,LIMA,SAN MARTIN DE PORRES,URBANA,AVENIDA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-12.021036,-77.08656
A-2023-05-129,2023-05-14,2023,DOMINGO,16:40,16,LIMA,LURIN,URBANA,CARRETERA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-12.302955,-76.84265
A-2023-05-122,2023-05-19,2023,VIERNES,06:00,6,LIMA,ATE,URBANA,CARRETERA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.008269,-76.860337
A-2023-05-127,2023-05-20,2023,SABADO,19:20,19,LIMA,LURIGANCHO,URBANA,CARRETERA,VOLCADURA,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.021007,-76.924511
A-2023-05-126,2023-05-20,2023,SABADO,23:40,23,LIMA,LURIN,RURAL,CARRETERA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-12.245601,-76.937863
A-2023-05-125,2023-05-21,2023,DOMINGO,06:30,6,LIMA,LURIN,RURAL,CARRETERA,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.272526,-76.895531
A-2023-05-124,2023-05-21,2023,DOMINGO,23:30,23,LIMA,SAN JUAN DE MIRAFLORES,URBANA,CARRETERA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-12.146893,-76.982133
A-2023-05-123,2023-05-22,2023,LUNES,20:20,20,LIMA,PUENTE PIEDRA,URBANA,CARRETERA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,0,-11.899354,-77.067782
A-2023-05-154,2023-05-24,2023,MIERCOLES,17:00,17,LIMA,CHORRILLOS,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-12.190228,-77.006271
A-2023-05-173,2023-05-24,2023,MIERCOLES,17:00,17,LIMA,CHORRILLOS,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-12.19024,-77.006379
A-2023-05-121,2023-05-24,2023,MIERCOLES,14:00,14,LIMA,SAN JUAN DE MIRAFLORES,URBANA,CARRETERA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,2,-12.17345,-76.97825
A-2023-05-107,2023-05-26,2023,VIERNES,08:10,8,CALLAO,VENTANILLA,URBANA,CARRETERA,DESPISTE,EN PROCESO DE INVESTIGACIÓN,1,2,-11.920192,-77.129354
A-2023-05-120,2023-05-26,2023,VIERNES,20:50,20,LIMA,PUEBLO LIBRE,URBANA,AVENIDA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,1,0,-12.084783,-77.064486
A-2023-05-119,2023-05-26,2023,VIERNES,21:00,21,LIMA,VILLA EL SALVADOR,URBANA,CARRETERA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.229045,-76.968166
A-2023-05-113,2023-05-27,2023,SABADO,20:00,20,LIMA,LIMA,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.058755,-77.013991
A-2023-05-114,2023-05-27,2023,SABADO,20:10,20,LIMA,PUENTE PIEDRA,URBANA,CARRETERA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-11.841271,-77.10372
A-2023-05-112,2023-05-28,2023,DOMINGO,05:30,5,LIMA,SAN MARTIN DE PORRES,URBANA,CARRETERA,CHOQUE CON OBJETO FIJO,EN PROCESO DE INVESTIGACIÓN,1,1,-12.035202,-77.049005
A-2023-05-116,2023-05-29,2023,LUNES,16:00,16,LIMA,LURIGANCHO,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-11.97624,-76.895071
A-2023-05-115,2023-05-29,2023,LUNES,17:30,17,LIMA,PUEBLO LIBRE,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-12.07878,-77.05688
A-2023-05-117,2023-05-30,2023,MARTES,07:30,7,LIMA,PUENTE PIEDRA,URBANA,CALLE,CAÍDA DE PASAJERO,EN PROCESO DE INVESTIGACIÓN,1,0,-11.826237,-77.112416
A-2023-05-118,2023-05-31,2023,MIERCOLES,19:00,19,LIMA,VILLA EL SALVADOR,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.224051,-76.919824
A-2023-06-114,2023-06-01,2023,JUEVES,23:00,23,LIMA,SAN MIGUEL,URBANA,OTRO,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,1,1,-12.081534,-77.106801
A-2023-06-115,2023-06-01,2023,JUEVES,23:50,23,LIMA,VILLA EL SALVADOR,URBANA,AVENIDA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,1,-12.239764,-76.912314
A-2023-06-116,2023-06-03,2023,SABADO,18:45,18,LIMA,LIMA,RURAL,AVENIDA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-12.055195,-77.030261
A-2023-06-117,2023-06-03,2023,SABADO,19:20,19,LIMA,PUCUSANA,URBANA,AVENIDA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-12.492415,-76.787542
A-2023-06-118,2023-06-04,2023,DOMINGO,07:20,7,LIMA,VILLA EL SALVADOR,RURAL,CARRETERA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.235937,-76.956483
A-2023-06-119,2023-06-04,2023,DOMINGO,07:45,7,LIMA,SANTIAGO DE SURCO,URBANA,CARRETERA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.136873,-76.980469
A-2023-06-120,2023-06-04,2023,DOMINGO,22:30,22,LIMA,ANCON,RURAL,CARRETERA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,1,0,-11.79253,-77.146759
A-2023-06-122,2023-06-06,2023,MARTES,20:50,20,LIMA,SURQUILLO,URBANA,CALLE,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,1,-12.109711,-77.011654
A-2023-06-121,2023-06-06,2023,MARTES,09:40,9,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,CAÍDA DE PASAJERO,IMPRUDENCIA DEL CONDUCTOR,1,0,-11.976992,-77.003059
A-2023-06-123,2023-06-07,2023,MIERCOLES,03:40,3,LIMA,SANTIAGO DE SURCO,URBANA,CARRETERA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,2,1,-12.118225,-76.977132
A-2023-06-124,2023-06-07,2023,MIERCOLES,10:45,10,LIMA,CHORRILLOS,URBANA,AVENIDA,ATROPELLO,NEGLIGENCIA DEL CONDUCTOR,1,0,-12.181346,-77.012327
A-2023-06-125,2023-06-08,2023,JUEVES,05:00,5,LIMA,SAN MARTIN DE PORRES,URBANA,AVENIDA,DESPISTE,EN PROCESO DE INVESTIGACIÓN,1,0,-12.016621,-77.077946
A-2023-06-126,2023-06-08,2023,JUEVES,08:30,8,LIMA,MIRAFLORES,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.129914,-77.023709
A-2023-06-86,2023-06-08,2023,JUEVES,18:30,18,CALLAO,CALLAO,URBANA,CARRETERA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-12.044616,-77.126587
A-2023-06-127,2023-06-09,2023,VIERNES,16:50,16,LIMA,JESUS MARIA,URBANA,AVENIDA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,2,0,-12.074223,-77.052937
A-2023-06-131,2023-06-10,2023,SABADO,20:40,20,LIMA,ATE,URBANA,CARRETERA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.009093,-76.864798
A-2023-06-129,2023-06-10,2023,SABADO,23:30,23,LIMA,ANCON,RURAL,CARRETERA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-11.806201,-77.134166
A-2023-06-128,2023-06-10,2023,SABADO,07:10,7,LIMA,SAN BORJA,URBANA,AVENIDA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,1,1,-12.087255,-76.996145
A-2023-06-132,2023-06-11,2023,DOMINGO,05:20,5,LIMA,SURQUILLO,URBANA,AVENIDA,VOLCADURA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.109287,-77.025994
A-2023-06-84,2023-06-11,2023,DOMINGO,10:00,10,CALLAO,CALLAO,URBANA,AVENIDA,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.014298,-77.104826
A-2023-06-133,2023-06-12,2023,LUNES,00:30,0,LIMA,CHACLACAYO,URBANA,CARRETERA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-11.982035,-76.797168
A-2023-06-135,2023-06-12,2023,LUNES,06:30,6,LIMA,LIMA,URBANA,AVENIDA,CAÍDA DE PASAJERO,EN PROCESO DE INVESTIGACIÓN,1,0,-12.044265,-77.042792
A-2023-06-134,2023-06-12,2023,LUNES,20:30,20,LIMA,SAN MARTIN DE PORRES,URBANA,CARRETERA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-12.033849,-77.052185
A-2023-06-92,2023-06-13,2023,MARTES,09:00,9,CALLAO,CALLAO,URBANA,CARRETERA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,1,0,-11.946975,-77.131583
A-2023-06-136,2023-06-13,2023,MARTES,15:40,15,LIMA,SAN JUAN DE MIRAFLORES,URBANA,AVENIDA,VOLCADURA,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.179933,-76.976636
A-2023-06-137,2023-06-13,2023,MARTES,21:00,21,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL PEATÓN,1,0,-11.955659,-76.99171
A-2023-06-190,2023-06-14,2023,MIERCOLES,15:15,15,CALLAO,CALLAO,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.013131,-77.097647
A-2023-06-138,2023-06-16,2023,VIERNES,20:30,20,LIMA,SANTIAGO DE SURCO,URBANA,CARRETERA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.119468,-76.977189
A-2023-06-139,2023-06-17,2023,SABADO,00:30,0,LIMA,LURIN,URBANA,CARRETERA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.292872,-76.863096
A-2023-06-153,2023-06-17,2023,SABADO,01:30,1,LIMA,ATE,URBANA,CARRETERA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-12.009901,-76.869318
A-2023-06-140,2023-06-17,2023,SABADO,09:00,9,LIMA,MIRAFLORES,URBANA,AVENIDA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-12.115356,-77.029577
A-2023-06-141,2023-06-18,2023,DOMINGO,06:00,6,LIMA,ATE,URBANA,CARRETERA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.00829,-76.860486
A-2023-06-154,2023-06-19,2023,LUNES,17:20,17,CALLAO,CALLAO,URBANA,AVENIDA,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,1,0,-11.997618,-77.11476
A-2023-06-144,2023-06-19,2023,LUNES,22:00,22,LIMA,SAN MARTIN DE PORRES,URBANA,CARRETERA,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,1,0,-12.025267,-77.058607
A-2023-06-142,2023-06-19,2023,LUNES,03:15,3,LIMA,LOS OLIVOS,URBANA,AVENIDA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,1,0,-11.980066,-77.072331
A-2023-06-143,2023-06-19,2023,LUNES,16:50,16,LIMA,LURIGANCHO,URBANA,CALLE,VOLCADURA,EN PROCESO DE INVESTIGACIÓN,1,1,-11.937547,-76.701752
A-2023-06-146,2023-06-22,2023,JUEVES,08:45,8,LIMA,INDEPENDENCIA,URBANA,AVENIDA,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,1,0,-12.007867,-77.058374
A-2023-06-145,2023-06-22,2023,JUEVES,06:00,6,LIMA,VILLA EL SALVADOR,URBANA,AVENIDA,VOLCADURA,IMPRUDENCIA DEL CONDUCTOR,1,1,-12.195138,-76.934819
A-2023-06-85,2023-06-23,2023,VIERNES,10:00,10,CALLAO,CALLAO,URBANA,AVENIDA,CHOQUE,EN PROCESO DE INVESTIGACIÓN,1,0,-12.053512,-77.098003
A-2023-06-172,2023-06-23,2023,VIERNES,23:30,23,LIMA,LURIN,URBANA,AVENIDA,DESPISTE,IMPRUDENCIA DEL CONDUCTOR,1,0,-12.256879,-76.888211
