codigo_siniestro,codigo_persona,anio,fecha,hora,franja_horaria,provincia,distrito,tipo_persona,gravedad,lugar_defuncion,lugar_atencion_lesionado,sexo,edad,vehiculo,clase_siniestro,red_vial,tipo_via,zona,zonificacion,caracteristicas_via,superficie_calzada
A-2023-12-100,P-2023-12-100-1-2,2023,2023-12-11,18:20,NOCHE (18-23),LIMA,COMAS,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,67,MOTOCICLETA,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-101,P-2023-12-101-1-1,2023,2023-12-12,10:00,MANANA (06-11),LIMA,VILLA MARIA DEL TRIUNFO,CONDUCTOR,ILESO,,,MASCULINO,21,TRIMOTO PASAJERO,ATROPELLO,URBANO,AVENIDA,URBANA,RESIDENCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-101,P-2023-12-101-1-2,2023,2023-12-12,10:00,MANANA (06-11),LIMA,VILLA MARIA DEL TRIUNFO,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,85,TRIMOTO PASAJERO,ATROPELLO,URBANO,AVENIDA,URBANA,RESIDENCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-103,P-2023-12-103-1-1,2023,2023-12-14,05:45,MADRUGADA (00-05),LIMA,SAN BARTOLO,CONDUCTOR,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,48,CAMIÓN,CHOQUE,NACIONAL,CARRETERA,RURAL,RURAL,TRAMO RECTO,ASFALTADA
A-2023-12-103,P-2023-12-103-1-2,2023,2023-12-14,05:45,MADRUGADA (00-05),LIMA,SAN BARTOLO,PASAJERO,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,FEMENINO,23,CAMIÓN,CHOQUE,NACIONAL,CARRETERA,RURAL,RURAL,TRAMO RECTO,ASFALTADA
A-2023-12-103,P-2023-12-103-1-3,2023,2023-12-14,05:45,MADRUGADA (00-05),LIMA,SAN BARTOLO,PASAJERO,LESIONADO,,OTRO,MASCULINO,22,CAMIÓN,CHOQUE,NACIONAL,CARRETERA,RURAL,RURAL,TRAMO RECTO,ASFALTADA
A-2023-12-103,P-2023-12-103-2-1,2023,2023-12-14,05:45,MADRUGADA (00-05),LIMA,SAN BARTOLO,CONDUCTOR,ILESO,,,MASCULINO,62,ÓMNIBUS,CHOQUE,NACIONAL,CARRETERA,RURAL,RURAL,TRAMO RECTO,ASFALTADA
A-2023-12-102,P-2023-12-102-1-1,2023,2023-12-14,06:30,MANANA (06-11),LIMA,LURIN,CONDUCTOR,ILESO,,,MASCULINO,26,CAMIONETA RURAL,DESPISTE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-102,P-2023-12-102-1-10,2023,2023-12-14,06:30,MANANA (06-11),LIMA,LURIN,PASAJERO,LESIONADO,,,NO INDICA,,CAMIONETA RURAL,DESPISTE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-102,P-2023-12-102-1-11,2023,2023-12-14,06:30,MANANA (06-11),LIMA,LURIN,PASAJERO,LESIONADO,,,NO INDICA,,CAMIONETA RURAL,DESPISTE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-102,P-2023-12-102-1-12,2023,2023-12-14,06:30,MANANA (06-11),LIMA,LURIN,PASAJERO,LESIONADO,,,NO INDICA,,CAMIONETA RURAL,DESPISTE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-102,P-2023-12-102-1-2,2023,2023-12-14,06:30,MANANA (06-11),LIMA,LURIN,PASAJERO,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,FEMENINO,48,CAMIONETA RURAL,DESPISTE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
