codigo_siniestro,fecha,anio,hora,franja_horaria,distrito,zona,tipo_via,clase_siniestro,cantidad_fallecidos,cantidad_lesionados,n_vehiculos,vehiculo_fugado,soat_no_vigente
A-2022-06-196,2022-06-26,2022,18:45,NOCHE (18-23),SAN JUAN DE MIRAFLORES,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-06-193,2022-06-27,2022,01:00,MADRUGADA (00-05),EL AGUSTINO,RURAL,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-06-194,2022-06-27,2022,02:00,MADRUGADA (00-05),CHACLACAYO,URBANA,CARRETERA,DESPISTE,1,0,1,NO,NO
A-2022-06-195,2022-06-27,2022,03:40,MADRUGADA (00-05),SAN BORJA,URBANA,AVENIDA,DESPISTE,1,1,1,NO,NO
A-2022-06-191,2022-06-28,2022,05:48,MADRUGADA (00-05),LURIN,RURAL,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-06-192,2022-06-28,2022,13:45,TARDE (12-17),VILLA EL SALVADOR,RURAL,CARRETERA,DESPISTE,2,2,2,NO,NO
A-2022-06-190,2022-06-30,2022,00:50,MADRUGADA (00-05),MIRAFLORES,URBANA,OTRO,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-06-189,2022-06-30,2022,01:00,MADRUGADA (00-05),LURIN,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-06-188,2022-06-30,2022,06:46,MANANA (06-11),ANCON,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-07-186,2022-07-02,2022,01:30,MADRUGADA (00-05),LURIN,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-07-187,2022-07-02,2022,02:50,MADRUGADA (00-05),PUEBLO LIBRE,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-07-3,2022-07-03,2022,10:30,MANANA (06-11),CALLAO,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,SI
