codigo_siniestro,codigo_persona,tipo_persona,gravedad,sexo,edad,vehiculo
A-2021-11-114,P-2021-11-114-2-1,CONDUCTOR,ILESO,MASCULINO,,MINIBUS
A-2021-11-141,P-2021-11-141-1-1,CONDUCTOR,ILESO,MASCULINO,65,MINIBUS
A-2021-11-141,P-2021-11-141-1-2,PEATÓN,FALLECIDO,FEMENINO,,MINIBUS
A-2021-11-142,P-2021-11-142-1-1,CONDUCTOR,ILESO,MASCULINO,35,ÓMNIBUS
A-2021-11-142,P-2021-11-142-1-2,PASAJERO,FALLECIDO,FEMENINO,18,ÓMNIBUS
A-2021-11-143,P-2021-11-143-1-1,CONDUCTOR,ILESO,MASCULINO,44,REMOLCADOR
A-2021-11-143,P-2021-11-143-2-1,CONDUCTOR,FALLECIDO,MASCULINO,,MOTOCICLETA
A-2021-11-144,P-2021-11-144-1-1,CONDUCTOR,ILESO,MASCULINO,46,CAMIÓN
A-2021-11-144,P-2021-11-144-2-1,CONDUCTOR,FALLECIDO,MASCULINO,24,MOTOCICLETA
A-2021-11-146,P-2021-11-146-1-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2021-11-146,P-2021-11-146-1-2,PEATÓN,FALLECIDO,MASCULINO,51,VEHICULO NO IDENTIFICADO
A-2021-11-147,P-2021-11-147-1-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2021-11-147,P-2021-11-147-1-2,PEATÓN,FALLECIDO,MASCULINO,39,VEHICULO NO IDENTIFICADO
A-2021-11-148,P-2021-11-148-1-1,CONDUCTOR,ILESO,MASCULINO,34,ÓMNIBUS
A-2021-11-148,P-2021-11-148-1-2,PEATÓN,FALLECIDO,FEMENINO,,ÓMNIBUS
A-2021-11-149,P-2021-11-149-1-1,CONDUCTOR,ILESO,MASCULINO,30,CAMIONETA RURAL
