"codigo_osinerg","razon_social","actividad","departamento","provincia","distrito","direccion","fecha_reporte"
"97130","INVERSIONES M Y E S.A.C. ","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","LIMA","LURIGANCHO","AV. SANTA CRUZ ESQUINA AV. CAJAMARQUILLA LOTE 1 Y LOTE 2, AA.HH. SANTA CRUZ DE CAJAMARQUILLA","2026-08-07"
"97149","GRIFO SANTISIMA CRUZ DE MOTUPE E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","AMAZONAS","UTCUBAMBA","LONYA GRANDE","SECTOR LA AVISPA, CARRETERA LONYA GRANDE - CAMPO REDONDO","2026-08-07"
"97169","DISTRIBUIDORA DE REPUESTOS, LUBRICANTES Y COMBUSTIBLES S.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","LA LIBERTAD","PATAZ","PARCOY","CARRETERA TRUJILLO-TAYABAMBA S/N SECTOR EL ENCANTO CASERIO RETAMAS","2026-08-07"
"97173","SERVICE PETROLEUM COMPANY E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","LORETO","MAYNAS","PUNCHANA","AV. 28 DE JULIO Nº 659 - 661","2026-08-08"
"97176","ESTACION DE SERVICIOS & FENIX SUR S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","LIMA","VILLA EL SALVADOR","AA. HH. EDILBERTO RAMOS, GRUPO 01, MZ A LT 2, SUB LOTE 1 4TA ETAPA URB PACHACAMAC","2026-08-08"
"97217","ESTACION DE GASOLINA JESUS DE NAZARERTH SRL","ESTACIÓN DE SERVICIOS / GRIFOS","CAJAMARCA","CAJAMARCA","MAGDALENA","CARRETERA CIUDAD DE DIOS - CAJAMARCA KM. 126, CENTRO POBLADO SAN SEBASTIAN DE CHOROPAMPA","2026-08-07"
"97236","AXEL ENERGY S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","HUAURA","VEGUETA","CARRETERA PANAMERICANA NORTE KM 162+809 - SECTOR MIRAMAR","2026-08-07"
"97245","PETROAMERICA","ESTACIÓN DE SERVICIOS / GRIFOS","LORETO","MAYNAS","IQUITOS","JR. PUTUMAYO MZ. H LOTE 32, PUEBLO JOVEN STADIUM - ETAPA STADIUM","2026-08-09"
"97259","ESTACION DE SERVICIOS PICORITO E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","AMAZONAS","UTCUBAMBA","BAGUA GRANDE","AV. CHACHAPOYAS LOTES 4-6 MZ. E25 - SECTOR LA ESPERANZA","2026-08-06"
"97272","INVERSIONES HANAN WANKA S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","JUNIN","CHUPACA","CHUPACA","AV. ANDRES AVELINO CACERES DORREGARAY S/N","2026-08-08"
"97298","XACT PERU S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","ICA","NAZCA","NAZCA","CARRETERA PANAMERICANA SUR KM 446, PARCELA N° 16, SECTOR CURVE ALTO","2026-08-05"
"97326","ESTACION DE SERVICIOS LOS NATIVITOS SOCIEDAD ANONIMA CERRADA","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","TAMBOPATA","LAS PIEDRAS","JR. MAXIMO CONZA MZA L LOTE 3, EL TRIUNFO","2026-08-07"
