codigo_siniestro,codigo_vehiculo,departamento,provincia,distrito,situacionvehiculo,estado_modalidad,modalidad_de_transporte,elemento_transportado,ambito_servicio,posee_seguro,estado_soat,tipo_seguro,compania_seguro,posee_citv,estado_citv,vehiculo,tipo_siniestro,fecha,ano,mes,dia,hora,codigo_de_carretera,tipo_de_via
A-2023-10-121,V-2023-10-121-1,LIMA,LIMA,CHORRILLOS,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,MAPFRE,NO CORRESPONDE,NO APLICA,AUTOMÓVIL,CHOQUE,22/10/2023,2023,OCTUBRE,DOMINGO,12,PE-1S,CARRETERA
A-2023-10-121,V-2023-10-121-2,LIMA,LIMA,CHORRILLOS,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,RIMAC,SI,VIGENTE,AUTOMÓVIL,CHOQUE,22/10/2023,2023,OCTUBRE,DOMINGO,12,PE-1S,CARRETERA
A-2023-10-121,V-2023-10-121-3,LIMA,LIMA,CHORRILLOS,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,NO CORRESPONDE,VIGENTE,,,NO CORRESPONDE,NO APLICA,BICICLETA,CHOQUE,22/10/2023,2023,OCTUBRE,DOMINGO,12,PE-1S,CARRETERA
A-2023-10-121,V-2023-10-121-4,LIMA,LIMA,CHORRILLOS,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,NO CORRESPONDE,VIGENTE,,,NO CORRESPONDE,NO APLICA,BICICLETA,CHOQUE,22/10/2023,2023,OCTUBRE,DOMINGO,12,PE-1S,CARRETERA
A-2023-10-124,V-2023-10-124-1,LIMA,LIMA,LURIN,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,INTERSEGURO,NO,NO REGISTRA,AUTOMÓVIL,CHOQUE,23/10/2023,2023,OCTUBRE,LUNES,7,PE-1S,CARRETERA
A-2023-10-124,V-2023-10-124-2,LIMA,LIMA,LURIN,IDENTIFICADO,HABILITADO,REGULAR(INTERPROVINCIAL),PERSONAS,PROVINCIAL,SI,VIGENTE,SOAT,RIMAC,SI,VIGENTE,ÓMNIBUS,CHOQUE,23/10/2023,2023,OCTUBRE,LUNES,7,PE-1S,CARRETERA
A-2023-10-125,V-2023-10-125-1,LIMA,LIMA,LURIN,IDENTIFICADO,HABILITADO,MATERIALES PELIGROSOS,CARGA Y/O MERCANCÍAS,NACIONAL,SI,VIGENTE,SOAT,RIMAC,SI,VIGENTE,REMOLCADOR-SEMIREMOLQUE,CHOQUE,24/10/2023,2023,OCTUBRE,MARTES,7,PE-1S,CARRETERA
A-2023-10-125,V-2023-10-125-2,LIMA,LIMA,LURIN,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,PROTECTA,SI,VIGENTE,CAMIONETA RURAL,CHOQUE,24/10/2023,2023,OCTUBRE,MARTES,7,PE-1S,CARRETERA
A-2023-10-128,V-2023-10-128-1,LIMA,LIMA,SURQUILLO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,INTERSEGURO,NO,NO REGISTRA,MOTOCICLETA,ATROPELLO,25/10/2023,2023,OCTUBRE,MIÉRCOLES,0,NO CORRESPONDE,AVENIDA
A-2023-10-122,V-2023-10-122-1,LIMA,LIMA,LOS OLIVOS,FUGADO,NO CORRESPONDE,NO CORRESPONDE,PERSONAS,,NO CORRESPONDE,NO APLICA,,,NO CORRESPONDE,NO APLICA,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,25/10/2023,2023,OCTUBRE,MIÉRCOLES,2,PE-1N,CARRETERA
A-2023-10-127,V-2023-10-127-1,LIMA,LIMA,SAN LUIS,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,NO,NO REGISTRA,,,NO,NO REGISTRA,MOTOCICLETA,ATROPELLO,26/10/2023,2023,OCTUBRE,JUEVES,5,NO CORRESPONDE,AVENIDA
A-2023-10-123,V-2023-10-123-1,LIMA,LIMA,LOS OLIVOS,FUGADO,NO CORRESPONDE,NO CORRESPONDE,PERSONAS,,NO CORRESPONDE,NO APLICA,,,NO CORRESPONDE,NO APLICA,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,27/10/2023,2023,OCTUBRE,VIERNES,1,PE-1N,CARRETERA
A-2023-10-126,V-2023-10-126-1,LIMA,LIMA,SAN MARTIN DE PORRES,IDENTIFICADO,HABILITADO,CARGA,CARGA Y/O MERCANCÍAS,NACIONAL,SI,VIGENTE,SOAT,INTERSEGURO,SI,VIGENTE,CAMIÓN,ATROPELLO,27/10/2023,2023,OCTUBRE,VIERNES,6,NO CORRESPONDE,AVENIDA
A-2023-10-129,V-2023-10-129-1,LIMA,LIMA,LURIGANCHO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,LA POSITIVA,SI,VIGENTE,AUTOMÓVIL,ATROPELLO,28/10/2023,2023,OCTUBRE,SÁBADO,2,PE-22,CARRETERA
A-2023-10-130,V-2023-10-130-1,LIMA,LIMA,EL AGUSTINO,FUGADO,NO CORRESPONDE,NO CORRESPONDE,PERSONAS,,NO CORRESPONDE,NO APLICA,,,NO CORRESPONDE,NO APLICA,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,28/10/2023,2023,OCTUBRE,SÁBADO,4,NO CORRESPONDE,AVENIDA
A-2023-10-131,V-2023-10-131-1,LIMA,LIMA,ATE,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VENCIDO,SOAT,LA POSITIVA,NO,NO REGISTRA,MOTOCICLETA,ATROPELLO,29/10/2023,2023,OCTUBRE,DOMINGO,0,PE-22,CARRETERA
A-2023-10-132,V-2023-10-132-1,LIMA,LIMA,RIMAC,IDENTIFICADO,NO CORRESPONDE,SERVICIO ESPECIAL DE PASAJEROS,PERSONAS,DISTRITAL,NO ESPECIFICA,NO REGISTRA,,,NO ESPECIFICA,NO REGISTRA,TRIMOTO PASAJERO,CHOQUE,29/10/2023,2023,OCTUBRE,DOMINGO,6,PE-1N,CARRETERA
