codigo_siniestro,fecha_siniestro,hora_siniestro,clase_siniestro,cantidad_de_fallecidos,cantidad_de_lesionados,cantidad_de_vehiculos_danados,departamento,provincia,distrito,zona,tipo_de_via,red_vial,cod_carretera,coordenadas_latitud,coordenadas_longitud,condicionclimatica,zonificacion,caracteristicas_de_via,perfil_longitudinal_via,superficie_de_calzada,existe_senal_vertical,clasificacionde_la_senal_vertical_no_1,clasificacionde_la_senal_vertical_no_2,existe_senal_horizontal,causa_factor_principal,causa_especifica
A-2023-11-117,2023-11-11,22:10,CHOQUE,1,0,,LIMA,LIMA,CARABAYLLO,RURAL,CARRETERA,NACIONAL,PE-20A,-11.793955,-76.982986,DESPEJADO,RURAL,CURVA,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-118,2023-11-12,10:20,ATROPELLO,1,0,,LIMA,LIMA,SANTIAGO DE SURCO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.14921673,-76.98387065,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-119,2023-11-12,20:20,ATROPELLO FUGA,1,0,,LIMA,LIMA,LURIN,RURAL,CARRETERA,NACIONAL,PE-1S,-12.30567,-76.838985,DESPEJADO,INDUSTRIAL,CURVA,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-177,2023-11-14,20:45,CHOQUE,1,0,,LIMA,LIMA,SAN MARTIN DE PORRES,URBANA,CARRETERA,NACIONAL,PE-1N,-12.035383,-77.047746,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-120,2023-11-15,06:15,ATROPELLO,1,0,,LIMA,LIMA,LOS OLIVOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.97078095,-77.0725454,DESPEJADO,COMERCIAL,CURVA,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-122,2023-11-15,07:20,ATROPELLO,1,0,,LIMA,LIMA,CARABAYLLO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.8737479,-77.02348169,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-121,2023-11-15,11:40,ESPECIAL,1,0,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,CALLE,URBANO,NO CORRESPONDE,-11.97046575,-76.9943926,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-123,2023-11-15,17:10,DESPISTE,1,0,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,CARRETERA,NACIONAL,PE-22,-12.020908,-76.954216,DESPEJADO,RURAL,TRAMO RECTO,INCLINADA,ASFALTADA,SI,PREVENTIVA (P),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-149,2023-11-16,12:10,ATROPELLO,1,1,,CALLAO,CALLAO,CALLAO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.0191663939596,-77.1008733202518,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,SI,IMPRUDENCIA DEL PEATÓN,CRUCE INDEBIDO POR LA CALZADA
A-2023-11-124,2023-11-18,00:20,DESPISTE,1,0,,LIMA,LIMA,INDEPENDENCIA,URBANA,CARRETERA,NACIONAL,PE-1N,-11.99914034,-77.06266004,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-125,2023-11-18,07:10,DESPISTE,1,1,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,CALLE,URBANO,NO CORRESPONDE,-11.96844547,-76.96975104,DESPEJADO,ESCOLAR,CURVA,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-126,2023-11-19,05:30,ATROPELLO FUGA,1,0,,LIMA,LIMA,SAN JUAN DE MIRAFLORES,URBANA,CARRETERA,NACIONAL,PE-1S,-12.179902,-76.976303,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-127,2023-11-19,14:15,ATROPELLO,1,0,,LIMA,LIMA,ANCON,URBANA,CARRETERA,NACIONAL,PE-1N,-11.73451895,-77.13611622,DESPEJADO,RESIDENCIAL,CURVA,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-128,2023-11-20,17:20,CHOQUE,2,0,,LIMA,LIMA,LURIN,URBANA,CARRETERA,NACIONAL,PE-1S,-12.300015,-76.849084,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-129,2023-11-21,03:10,ATROPELLO,1,0,,LIMA,LIMA,SAN MARTIN DE PORRES,URBANA,CARRETERA,NACIONAL,PE-1N,-12.024616,-77.05868041,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-130,2023-11-22,23:30,CHOQUE,1,0,,LIMA,LIMA,PUENTE PIEDRA,URBANA,CARRETERA,NACIONAL,PE-1N,-11.88600505,-77.06853415,DESPEJADO,ESCOLAR,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-131,2023-11-24,12:45,ATROPELLO FUGA,1,0,,LIMA,LIMA,PUENTE PIEDRA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.82885522,-77.11022089,DESPEJADO,RESIDENCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-132,2023-11-25,01:30,ATROPELLO FUGA,1,0,,LIMA,LIMA,PUNTA NEGRA,RURAL,CARRETERA,NACIONAL,PE-1S,-12.36371115,-76.79252318,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-189,2023-11-25,08:40,ATROPELLO,1,0,,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.148134,-76.934364,DESPEJADO,RESIDENCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
