codigo_siniestro,codigo_vehiculo,codigo_persona,departamento,provincia,distrito,tipo_persona,gravedad,lugar_atencionlesionado,lugar_de_defuncion,situacionde_persona,pais_de_nacionalidad,edad,sexo,posee_licencia,estado_licencia,clase_licencia,se_sometio_a_dosaje_etilico_cualitativo,resultado_del_dosaje_etilico_cualitativo,se_sometio_a_dosaje_etilico_cuantitativo,vehiculo,fecha,ano,mes,dia,hora,clase_de_siniestro,causa,causa_especifica,tipo_de_via,codigo_de_carretera,red_vial
A-2021-08-237,V-2021-08-237-1,P-2021-08-237-1-2,LIMA,LIMA,COMAS,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,IDENTIFICADO,PERÚ,83,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIÓN,14/08/2021,2021,AGOSTO,SÁBADO,15,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-238,V-2021-08-238-1,P-2021-08-238-1-1,LIMA,LIMA,VILLA EL SALVADOR,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,32,MASCULINO,NO,SIN DNI IDENTIFICADO,SIN DNI IDENTIFICADO,NO,,NO,CAMIÓN,16/08/2021,2021,AGOSTO,LUNES,9,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-238,V-2021-08-238-1,P-2021-08-238-1-2,LIMA,LIMA,VILLA EL SALVADOR,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,NO IDENTIFICADO,,,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIÓN,16/08/2021,2021,AGOSTO,LUNES,9,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-332,V-2021-08-332-1,P-2021-08-332-1-1,LIMA,LIMA,LIMA,CONDUCTOR,FALLECIDO,,EN EL CENTRO DE SALUD,IDENTIFICADO,PERÚ,39,MASCULINO,,VIGENTE,A III A,NO,,SI,TRIMOTO PASAJERO,17/08/2021,2021,AGOSTO,MARTES,8,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-332,V-2021-08-332-2,P-2021-08-332-2-1,LIMA,LIMA,LIMA,PASAJERO,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,38,FEMENINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIONETA RURAL,17/08/2021,2021,AGOSTO,MARTES,8,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-332,V-2021-08-332-2,P-2021-08-332-2-10,LIMA,LIMA,LIMA,PASAJERO,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,32,FEMENINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIONETA RURAL,17/08/2021,2021,AGOSTO,MARTES,8,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-332,V-2021-08-332-2,P-2021-08-332-2-11,LIMA,LIMA,LIMA,PASAJERO,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,27,FEMENINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIONETA RURAL,17/08/2021,2021,AGOSTO,MARTES,8,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-332,V-2021-08-332-2,P-2021-08-332-2-2,LIMA,LIMA,LIMA,PASAJERO,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,59,FEMENINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIONETA RURAL,17/08/2021,2021,AGOSTO,MARTES,8,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-332,V-2021-08-332-2,P-2021-08-332-2-3,LIMA,LIMA,LIMA,PASAJERO,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,45,FEMENINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIONETA RURAL,17/08/2021,2021,AGOSTO,MARTES,8,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-332,V-2021-08-332-2,P-2021-08-332-2-4,LIMA,LIMA,LIMA,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,42,MASCULINO,SI,VIGENTE,A II B,NO,,SI,CAMIONETA RURAL,17/08/2021,2021,AGOSTO,MARTES,8,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-332,V-2021-08-332-2,P-2021-08-332-2-5,LIMA,LIMA,LIMA,PASAJERO,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,26,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIONETA RURAL,17/08/2021,2021,AGOSTO,MARTES,8,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-332,V-2021-08-332-2,P-2021-08-332-2-6,LIMA,LIMA,LIMA,PASAJERO,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,66,FEMENINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIONETA RURAL,17/08/2021,2021,AGOSTO,MARTES,8,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-332,V-2021-08-332-2,P-2021-08-332-2-7,LIMA,LIMA,LIMA,PASAJERO,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,46,FEMENINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIONETA RURAL,17/08/2021,2021,AGOSTO,MARTES,8,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-332,V-2021-08-332-2,P-2021-08-332-2-8,LIMA,LIMA,LIMA,PASAJERO,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,46,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIONETA RURAL,17/08/2021,2021,AGOSTO,MARTES,8,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-332,V-2021-08-332-2,P-2021-08-332-2-9,LIMA,LIMA,LIMA,PASAJERO,LESIONADO,CENTRO DE SALUD PÚBLICO,,IDENTIFICADO,PERÚ,60,FEMENINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIONETA RURAL,17/08/2021,2021,AGOSTO,MARTES,8,CHOQUE FUGA,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-239,V-2021-08-239-1,P-2021-08-239-1-1,LIMA,LIMA,BREÑA,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,40,MASCULINO,NO,VIGENTE,A III A,NO,,NO,ÓMNIBUS,18/08/2021,2021,AGOSTO,MIÉRCOLES,9,ATROPELLO,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN),AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-239,V-2021-08-239-1,P-2021-08-239-1-2,LIMA,LIMA,BREÑA,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,IDENTIFICADO,PERÚ,NO INDICA,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,ÓMNIBUS,18/08/2021,2021,AGOSTO,MIÉRCOLES,9,ATROPELLO,IMPRUDENCIA DEL PEATÓN,OTRO (IMPRUDENCIA DEL PEATÓN),AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-240,V-2021-08-240-1,P-2021-08-240-1-1,LIMA,LIMA,ANCON,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,39,FEMENINO,NO,SUSPENDIDA,A II B,NO,,NO,AUTOMÓVIL,18/08/2021,2021,AGOSTO,MIÉRCOLES,19,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,CARRETERA NACIONAL,PE-1N,NACIONAL
