listing_id;2018;2019
5795871;2.0;2.0
5814747;75.0;44.0
5881530;76.0;48.0
6032973;6.0;11.0
6045404;3.0;3.0
6134895;44.0;45.0
6226872;16.0;9.0
6315732;9.0;20.0
6324453;12.0;9.0
6347338;23.0;3.0
6416204;45.0;34.0
6421331;2.0;1.0
6425616;67.0;73.0
6494884;10.0;8.0
6585636;5.0;8.0
6645469;62.0;40.0
6660457;57.0;6.0
6732143;37.0;58.0
6808688;60.0;6.0
6812180;57.0;50.0
6863617;22.0;29.0
6867548;18.0;22.0
6871805;46.0;40.0
6975013;5.0;16.0
6977279;2.0;3.0
6993905;49.0;60.0
7022315;6.0;1.0
7054627;10.0;4.0
7109101;17.0;9.0
7112627;3.0;1.0
7163201;38.0;41.0
7183413;43.0;44.0
7248669;21.0;9.0
7365327;12.0;1.0
7432239;5.0;1.0
7481879;16.0;12.0
7494656;21.0;20.0
7548858;29.0;35.0
7635114;16.0;16.0
7639521;127.0;88.0
7674840;4.0;3.0
7679929;35.0;20.0
7701543;41.0;23.0
7741348;73.0;82.0
7788230;2.0;2.0
7804061;33.0;55.0
7838721;17.0;34.0
7858563;3.0;5.0
7858932;7.0;3.0
7860202;2.0;1.0
7860338;3.0;1.0
7917938;1.0;2.0
7936342;6.0;3.0
7989551;5.0;3.0
7997635;31.0;30.0
8014842;25.0;26.0
8210512;2.0;2.0
8252104;48.0;54.0
8356680;68.0;64.0
8371276;21.0;20.0
8434517;39.0;2.0
8541289;5.0;17.0
8558636;7.0;3.0
8648704;55.0;71.0
8721425;30.0;40.0
8743634;44.0;34.0
8802669;22.0;35.0
8941830;40.0;2.0
9046022;4.0;6.0
9315705;3.0;3.0
9533778;16.0;10.0
9636681;3.0;2.0
9901027;10.0;39.0
10154874;10.0;1.0
10523480;47.0;54.0
10541223;51.0;37.0
10598712;16.0;7.0
10811008;8.0;11.0
10924322;13.0;16.0
10992078;40.0;45.0
11207279;4.0;3.0
11242550;11.0;4.0
11261229;23.0;21.0
11361362;3.0;5.0
11372212;8.0;3.0
11393844;48.0;41.0
11401593;37.0;33.0
11548616;35.0;14.0
11550687;2.0;1.0
11588321;6.0;2.0
11638140;25.0;17.0
11677580;24.0;9.0
11851708;45.0;55.0
11906047;38.0;30.0
11922799;6.0;26.0
11950920;35.0;44.0
12052091;1.0;1.0
12083773;10.0;5.0
12157772;27.0;21.0
12209150;6.0;3.0
12210228;4.0;3.0
12213507;4.0;3.0
12304783;8.0;63.0
